survived,pclass,sex,age,sibsp,parch,fare,embarked,who,adult_male,embark_town,alive,alone,family_size,class_Second,class_Third,age_group_Teenager,age_group_Young Adult,age_group_Adult
0,3,1,-0.5303538713815358,1,0,-0.5176199049813022,2,man,1,Southampton,0.0,0,2,False,True,False,True,False
1,1,0,0.8065821350033459,1,0,0.7127822635902696,0,woman,0,Cherbourg,0.0,0,2,False,False,False,False,True
1,3,0,-0.19611986978531534,0,0,-0.5046497556404778,2,woman,0,Southampton,0.0,1,1,False,True,False,True,False
1,1,0,0.5559066338061806,1,0,0.363389498391733,2,woman,0,Southampton,0.0,0,2,False,False,False,True,False
0,3,1,0.5559066338061806,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.11297285360260084,0,0,-0.4944023769094235,1,man,1,Queenstown,0.0,1,1,False,True,False,True,False
0,1,1,2.1435181413882276,0,0,0.3396108912668882,2,man,1,Southampton,0.0,1,1,False,False,False,False,True
0,3,1,-2.2015238793626377,3,1,-0.251972031445158,2,child,0,Southampton,0.0,0,5,False,True,False,False,False
1,3,0,-0.11256136938626023,0,2,-0.44300215544763794,2,woman,0,Southampton,0.0,0,3,False,True,False,True,False
1,2,0,-1.1988218745739765,1,0,-0.07911741005228673,0,child,0,Cherbourg,0.0,0,2,True,False,True,False,False
1,3,0,-2.0344068785645275,1,1,-0.33603781420976064,2,child,0,Southampton,0.0,0,3,False,True,False,False,False
0,3,1,-0.6974708721796459,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.890140635402401,1,5,-0.055978663628255994,2,man,1,Southampton,0.0,0,7,False,True,False,False,True
0,3,0,-1.1988218745739765,0,0,-0.5060101801935598,2,child,0,Southampton,0.0,1,1,False,True,True,False,False
1,2,0,2.2270766417872827,0,0,-0.349488339452097,2,woman,0,Southampton,0.0,1,1,True,False,False,False,True
0,3,1,-2.2015238793626377,4,1,-0.09729099115828924,1,child,0,Queenstown,0.0,0,6,False,True,False,False,False
1,2,1,0.11297285360260084,0,0,-0.4071334476335388,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
0,3,0,0.22167263220996017,1,0,-0.31105826733113584,2,woman,0,Southampton,0.0,0,2,False,True,False,True,False
1,3,0,0.11297285360260084,0,0,-0.5181002808828142,0,woman,0,Cherbourg,0.0,1,1,False,True,False,True,False
